%time,field.dynamixel_state0.name,field.dynamixel_state0.id,field.dynamixel_state0.present_position,field.dynamixel_state0.present_velocity,field.dynamixel_state0.present_current
1599990672873416991,one,1,-7080,36,0
1599990672905399144,one,1,-7063,36,0
1599990672969396470,one,1,-7026,36,0
1599990673001294578,one,1,-7008,35,0
1599990673065366214,one,1,-6971,35,0
1599990673097279079,one,1,-6953,35,0
1599990673161228870,one,1,-6916,35,0
1599990673193626556,one,1,-6898,35,0
1599990673257380049,one,1,-6861,35,0
1599990673321361677,one,1,-6824,35,0
1599990673353293933,one,1,-6806,35,0
1599990673417373324,one,1,-6769,35,0
1599990673448874754,one,1,-6751,35,0
1599990673513420596,one,1,-6715,35,0
1599990673545273572,one,1,-6699,33,0
1599990673609390181,one,1,-6669,30,0
1599990673673319293,one,1,-6641,28,0
1599990673705316761,one,1,-6627,28,0
1599990673769421350,one,1,-6599,27,0
1599990673801312153,one,1,-6585,27,0
1599990673865320217,one,1,-6556,27,0
1599990673897221869,one,1,-6541,27,0
1599990673961690523,one,1,-6514,27,0
1599990673993918835,one,1,-6499,27,0
1599990674057252269,one,1,-6471,27,0
1599990674121265667,one,1,-6443,27,0
1599990674153195248,one,1,-6429,27,0
1599990674217178870,one,1,-6401,27,0
1599990674249342406,one,1,-6387,27,0
1599990674313248288,one,1,-6359,27,0
1599990674345153651,one,1,-6345,27,0
1599990674409205211,one,1,-6317,27,0
1599990674473305105,one,1,-6288,27,0
1599990674505302986,one,1,-6274,27,0
1599990674569284542,one,1,-6245,27,0
1599990674601269483,one,1,-6233,27,0
1599990674665289307,one,1,-6205,27,0
1599990674696998228,one,1,-6191,27,0
1599990674761397227,one,1,-6163,27,0
1599990674795582165,one,1,-6149,27,0
1599990674857170802,one,1,-6122,27,0
1599990674921285116,one,1,-6094,27,0
1599990674953242512,one,1,-6079,27,0
1599990675017238010,one,1,-6052,27,0
1599990675049277639,one,1,-6038,27,0
1599990675113276002,one,1,-6010,27,0
1599990675145128574,one,1,-5996,27,0
1599990675209172660,one,1,-5968,27,0
1599990675273278948,one,1,-5940,27,0
1599990675305223831,one,1,-5927,27,0
1599990675368704394,one,1,-5898,27,0
1599990675400917236,one,1,-5884,27,0
1599990675465269430,one,1,-5857,27,0
1599990675497173199,one,1,-5843,27,0
1599990675561149090,one,1,-5816,27,0
1599990675593250288,one,1,-5802,27,0
1599990675657115689,one,1,-5775,27,0
1599990675721212108,one,1,-5747,27,0
1599990675753061114,one,1,-5733,27,0
1599990675817092730,one,1,-5705,27,0
